DEBUG 2024-05-24 20:23:01,491 autoreload File C:\Python312\Lib\opcode.py first seen with mtime 1701955214.0
DEBUG 2024-05-24 20:23:01,492 autoreload File C:\venvs\mysite\Lib\site-packages\django\contrib\admin\templatetags\__init__.py first seen with mtime 1715818498.232228
DEBUG 2024-05-24 20:23:01,493 autoreload File C:\Python312\Lib\email\errors.py first seen with mtime 1701955214.0
DEBUG 2024-05-24 20:23:01,493 autoreload File C:\venvs\mysite\Lib\site-packages\django\template\library.py first seen with mtime 1715818501.666828
DEBUG 2024-05-24 20:23:01,494 autoreload File C:\venvs\mysite\Lib\site-packages\django\core\files\storage\filesystem.py first seen with mtime 1715818501.430723
DEBUG 2024-05-24 20:23:01,494 autoreload File C:\venvs\mysite\Lib\site-packages\rest_framework\apps.py first seen with mtime 1715746509.2693057
DEBUG 2024-05-24 20:23:01,495 autoreload File C:\venvs\mysite\Lib\site-packages\django\db\models\__init__.py first seen with mtime 1715818501.5457273
DEBUG 2024-05-24 20:23:01,495 autoreload File C:\Python312\Lib\sqlite3\dbapi2.py first seen with mtime 1701955214.0
DEBUG 2024-05-24 20:23:01,496 autoreload File C:\Python312\Lib\ast.py first seen with mtime 1701955214.0
DEBUG 2024-05-24 20:23:01,496 autoreload File C:\venvs\mysite\Lib\site-packages\rest_framework\schemas\openapi.py first seen with mtime 1715746509.3684084
DEBUG 2024-05-24 20:23:01,497 autoreload File C:\venvs\mysite\Lib\site-packages\django\db\backends\sqlite3\base.py first seen with mtime 1715818501.5241857
DEBUG 2024-05-24 20:23:01,497 autoreload File C:\venvs\mysite\Lib\site-packages\django\db\models\sql\constants.py first seen with mtime 1715818501.5737474
DEBUG 2024-05-24 20:23:01,497 autoreload File C:\venvs\mysite\Lib\site-packages\django\utils\datastructures.py first seen with mtime 1715818501.7023244
DEBUG 2024-05-24 20:23:01,498 autoreload File C:\venvs\mysite\Lib\site-packages\django\core\cache\backends\locmem.py first seen with mtime 1715818501.4107249
DEBUG 2024-05-24 20:23:01,498 autoreload File C:\Python312\Lib\mimetypes.py first seen with mtime 1701955214.0
DEBUG 2024-05-24 20:23:01,499 autoreload File C:\venvs\mysite\Lib\site-packages\django\contrib\admin\views\decorators.py first seen with mtime 1715818498.2487924
DEBUG 2024-05-24 20:23:01,499 autoreload File C:\venvs\mysite\Lib\site-packages\django\templatetags\static.py first seen with mtime 1715818501.6828203
DEBUG 2024-05-24 20:23:01,500 autoreload File C:\venvs\mysite\Lib\site-packages\psycopg2\extras.py first seen with mtime 1715952826.4218903
DEBUG 2024-05-24 20:23:01,500 autoreload File C:\venvs\mysite\Lib\site-packages\django\template\loader.py first seen with mtime 1715818501.666828
DEBUG 2024-05-24 20:23:01,501 autoreload File C:\venvs\mysite\Lib\site-packages\django\contrib\postgres\forms\hstore.py first seen with mtime 1715818500.6612108
DEBUG 2024-05-24 20:23:01,501 autoreload File C:\venvs\mysite\Lib\site-packages\django\template\context.py first seen with mtime 1715818501.6608102
DEBUG 2024-05-24 20:23:01,502 autoreload File C:\Python312\Lib\email\mime\multipart.py first seen with mtime 1701955214.0
DEBUG 2024-05-24 20:23:01,502 autoreload File C:\venvs\mysite\Lib\site-packages\django\http\multipartparser.py first seen with mtime 1715818501.651811
